rank,name,level,win
812,징징이는징징징징,274,70
813,xihuan daye,244,157
814,불멸의무빙,240,51
815,새우깡기룩,94,201
816,Toby Dreamditch,302,80
817,NOWA,53,108
818,트위치 백색말,235,261
819,OHWARDJUMPGE,218,287
820,사 용 수,640,159
821,뷔브이,55,75
822,폴 루,106,253
823,티원 탑,113,311
824,신지테,343,145
825,믜 진,174,393
826,평화로운 행동대장 에그타르트,156,309
827,분신컨트롤,463,64
828,T1 Yuto,341,57
829,살티레,112,108
830,OMG COLD,176,87
831,T1 Minous,84,149
832,그냥 그리워,309,185
833,20050726정글,162,122
834,rladbfh,247,137
835,동작중비주얼담당,61,202
836,zhh,165,128
837,탑 가엔싸개,175,73
838,RlVEN king,55,122
839,piglo,61,162
840,탑만가는인생,53,55
841,잼 비,217,133
842,다미웡,298,267
843,krats aira,257,151
844,생각보다강하군,304,84
845,dgdsxnh,61,222
846,RyRbb,96,169
847,ailoujiang,95,113
848,재밌는 챔 함,239,209
849,juiceqnq,53,129
850,k범진k,293,225
851,AritirA,113,50
852,깊고 짙은 어둠,52,71
853,NS Carim,228,353
854,앤 쥐,172,79
855,kam1satoayaka,417,67
856,쓸데없는채팅혐오,324,80
857,상사일념,58,187
858,98tiancai,57,79
859,dryfIower,46,42
860,용과호랑이용,289,106
861,IM marco,217,181
862,KT Way,435,82
863,마석누런펭귄,260,81
864,고민이 많아,207,55
865,블리츠크랭크,312,131
866,자메이카흑인,607,211
867,수 직,55,92
868,102351604del,113,69
869,L1ps,171,145
870,asdgsadasd,257,418
871,이강뚝,162,95
872,이 쁜 채 팅,266,37
873,wobulijie,497,185
874,팀에 벽 느낌,524,111
875,토끼는우사기,254,229
876,탑딜러,294,104
877,처피뱅 카와이,671,158
878,호시니,50,97
879,Ahriman LYH,92,91
880,틀니의호흡 제1딱,166,150
881,H Agent,709,249
882,프로겐,74,115
883,hyunwookleeC,172,276
884,서폿방해하지마요,336,337
885,Haojay,72,200
886,아라드,217,62
887,PuIse,333,92
888,아는척자제,368,69
889,실 망,306,119
890,콩팥강도,314,116
891,레넥톤 장인,590,282
892,트위치 야무준식,307,285
893,행복했을까,512,184
894,렁 재,371,86
895,별의연인,650,65
896,볼 살,324,216
897,동국대 조경과,107,288
898,현타온 벙댕이,356,72
899,JGKING,138,146
900,Marigold Petal,55,116
901,Jiababe12,91,216
902,물방울,83,85
903,듀 월,73,116
904,SiDE xX,159,58
905,노틸러스서폿,307,49
906,danianchusan,110,439
907,복슬복슬겨드랑이,382,63
908,Griffith,307,97
909,달인 카직스,259,188
910,tybaby,91,129
911,bluee,161,102
912,포퉁이,719,208
913,riteleader,301,141
914,전적검색좀하지마,336,120
915,Youtube heeseong,180,75
916,나는팀원들이밉다,207,148
917,쌔 DI,665,190
918,막내현진구름 fan,70,102
919,level,242,98
920,R3membrance,53,155
921,행운의네잎클로버,48,78
922,KujoMiki,93,70
923,불타버린 발바닥,222,133
924,룰루랄라룰루랄리,321,65
925,huniannn,45,89
926,Witt Zoe,241,77
927,맑은 숲속으로,160,239
928,ANG TV,571,76
